well,treatment,t,eggs,juvs
4F01,solA500pM,0,71,3
4F01,solA500pM,14,NA,34
4F02,solA500pM_20uMdafa,0,67,4
4F02,solA500pM_20uMdafa,14,NA,35
4F03,solA500pM_50uMdafa,0,75,2
4F03,solA500pM_50uMdafa,14,NA,23
4F04,solA500pM,0,70,3
4F04,solA500pM,14,NA,41
4F05,solA500pM_20uMdafa,0,76,9
4F05,solA500pM_20uMdafa,14,NA,50
4F06,solA500pM_100uMdafa,0,83,13
4F06,solA500pM_100uMdafa,14,NA,33
4F07,solA500pM_100uMdafa,0,85,10
4F07,solA500pM_100uMdafa,14,NA,27
4F08,twater,0,65,7
4F08,twater,14,NA,9
4F09,twater,0,60,11
4F09,twater,14,NA,17
4F10,solA500pM_50uMdafa,0,98,6
4F10,solA500pM_50uMdafa,14,NA,38
4F11,solA500pM_20uMdafa,0,102,5
4F11,solA500pM_20uMdafa,14,NA,63
4F12,solA500pM_50uMdafa,0,46,14
4F12,solA500pM_50uMdafa,14,NA,31
4G01,solA500pM_100uMdafa,0,91,12
4G01,solA500pM_100uMdafa,14,NA,35
4G02,solA500pM,0,52,2
4G02,solA500pM,14,NA,23
4G03,twater,0,51,2
4G03,twater,14,NA,6
