well,treatment,t,eggs,juvs,concentration(uM)
D1,Akt50,0,58,12,50
D9,Akt50,0,60,12,50
1G4,Akt50,0,64,11,50
D1,Akt50,10,NA,13,50
D9,Akt50,10,NA,15,50
1G4,Akt50,10,NA,19,50
D6,TRD_hsolA,0,60,7,0
1E6,TRD_hsolA,0,77,8,0
1G12,TRD_hsolA,0,86,13,0
D6,TRD_hsolA,10,NA,40,0
1E6,TRD_hsolA,10,NA,53,0
1G12,TRD_hsolA,10,NA,53,0
1D7,Akt10,0,92,2,10
1D7,Akt10,10,NA,72,10
1G4,Akt10,0,78,9,10
1G4,Akt10,10,NA,49,10
1G8,Akt10,0,90,15,10
1G8,Akt10,10,NA,62,10
1A9,Akt25,0,72,11,25
1A9,Akt25,10,NA,28,25
1B5,Akt25,0,53,7,25
1B5,Akt25,10,NA,12,25
1F1,Akt25,0,77,3,25
1F1,Akt25,10,NA,13,25
1A7,TRD_hsolA,0,66,2,0
1A7,TRD_hsolA,10,NA,63,0
1F12,TRD_hsolA,0,87,16,0
1F12,TRD_hsolA,10,NA,89,0
1G6,TRD_hsolA,0,116,4,0
1G6,TRD_hsolA,10,NA,92,0
