well,treatment,t,eggs,juvs,concentration(uM)
D10,Akt50,0,55,8,50
1F6,Akt50,0,80,7,50
1G10,Akt50,0,59,4,50
D10,Akt50,10,NA,13,50
1F6,Akt50,10,NA,15,50
1G10,Akt50,10,NA,8,50
1E7,TRD_lsolA,0,93,5,0
1F9,TRD_lsolA,0,81,13,0
1G7,TRD_lsolA,0,64,8,0
1E7,TRD_lsolA,10,NA,69,0
1F9,TRD_lsolA,10,NA,59,0
1G7,TRD_lsolA,10,NA,44,0
1A3,Akt10,0,67,2,10
1A3,Akt10,10,NA,49,10
1F2,Akt10,0,87,5,10
1F2,Akt10,10,NA,77,10
1F9,Akt10,0,88,7,10
1F9,Akt10,10,NA,82,10
1A8,Akt25,0,71,15,25
1A8,Akt25,10,NA,29,25
1D9,Akt25,0,63,4,25
1D9,Akt25,10,NA,17,25
1E7,Akt25,0,53,2,25
1E7,Akt25,10,NA,20,25
1A12,TRD_lsolA,0,73,16,0
1A12,TRD_lsolA,10,NA,69,0
1C11,TRD_lsolA,0,80,7,0
1C11,TRD_lsolA,10,NA,73,0
1F3,TRD_lsolA,0,81,13,0
1F3,TRD_lsolA,10,NA,76,0
