well,treatment,t,eggs,juvs,concentration(uM),combinedwith,date
1A7,Akt10_solA5,0,68,5,10,solA5,200714
1C9,Akt10_solA5,0,60,9,10,solA5,200714
1E12,Akt10_solA5,0,60,3,10,solA5,200714
1A7,Akt10_solA5,10,NA,22,10,solA5,200714
1C9,Akt10_solA5,10,NA,28,10,solA5,200714
1E12,Akt10_solA5,10,NA,21,10,solA5,200714
1D4,Akt100_solA5,0,56,6,100,solA5,200714
1D11,Akt100_solA5,0,68,8,100,solA5,200714
1F4,Akt100_solA5,0,60,10,100,solA5,200714
1D4,Akt100_solA5,10,NA,13,100,solA5,200714
1D11,Akt100_solA5,10,NA,25,100,solA5,200714
1F4,Akt100_solA5,10,NA,11,100,solA5,200714
1A5,Akt50_solA5,0,52,8,50,solA5,200714
1B10,Akt50_solA5,0,72,5,50,solA5,200714
1E10,Akt50_solA5,0,63,13,50,solA5,200714
1A5,Akt50_solA5,10,NA,15,50,solA5,200714
1B10,Akt50_solA5,10,NA,18,50,solA5,200714
1E10,Akt50_solA5,10,NA,23,50,solA5,200714
1A11,solA5,0,58,3,0,solA5,200714
1D3,solA5,0,83,7,0,solA5,200714
1E6,solA5,0,58,7,0,solA5,200714
1A11,solA5,10,NA,26,0,solA5,200714
1D3,solA5,10,NA,52,0,solA5,200714
1E6,solA5,10,NA,43,0,solA5,200714
1D1,solA5_Akt25,0,64,1,25,solA5,200918
1E2,solA5_Akt25,0,80,2,25,solA5,200918
1E9,solA5_Akt25,0,64,10,25,solA5,200918
1D1,solA5_Akt25,10,NA,10,25,solA5,200918
1E2,solA5_Akt25,10,NA,12,25,solA5,200918
1E9,solA5_Akt25,10,NA,18,25,solA5,200918
1D8,solA5,0,71,6,0,solA5,200918
1E1,solA5,0,75,3,0,solA5,200918
1D8,solA5,10,NA,47,0,solA5,200918
1E1,solA5,10,NA,28,0,solA5,200918
