well,treatment,t,eggs,juvs,inhibitor,stimulator,conc_stim,conc_inh,DA
1A1,solA_0.5nM__DAno,0,76,2,,solA,0.5nM,0uM,no
1A1,solA_0.5nM__DAno,10,NA,43,,solA,0.5nM,0uM,no
1C2,solA_0.5nM__DAno,0,59,6,,solA,0.5nM,0uM,no
1C2,solA_0.5nM__DAno,10,NA,28,,solA,0.5nM,0uM,no
1G1,solA_0.5nM__DAno,0,71,16,,solA,0.5nM,0uM,no
1G1,solA_0.5nM__DAno,10,NA,40,,solA,0.5nM,0uM,no
1E9,solA_0.5nM__DA0.5uM,0,69,3,,solA,0.5nM,0uM,0.5uM
1E9,solA_0.5nM__DA0.5uM,10,NA,27,,solA,0.5nM,0uM,0.5uM
1G10,solA_0.5nM__DA0.5uM,0,85,7,,solA,0.5nM,0uM,0.5uM
1G10,solA_0.5nM__DA0.5uM,10,NA,44,,solA,0.5nM,0uM,0.5uM
1G3,solA_0.5nM__DA0.5uM,0,93,17,,solA,0.5nM,0uM,0.5uM
1G3,solA_0.5nM__DA0.5uM,10,NA,61,,solA,0.5nM,0uM,0.5uM
1C10,solA_1.0nM__DAno,0,80,6,,solA,1.0nM,0uM,no
1C10,solA_1.0nM__DAno,10,NA,58,,solA,1.0nM,0uM,no
1D4,solA_1.0nM__DAno,0,70,4,,solA,1.0nM,0uM,no
1D4,solA_1.0nM__DAno,10,NA,45,,solA,1.0nM,0uM,no
1G12,solA_1.0nM__DAno,0,77,13,,solA,1.0nM,0uM,no
1G12,solA_1.0nM__DAno,10,NA,42,,solA,1.0nM,0uM,no
1B11,solA_1.0nM__DA0.5uM,0,80,11,,solA,1.0nM,0uM,0.5uM
1B11,solA_1.0nM__DA0.5uM,10,NA,51,,solA,1.0nM,0uM,0.5uM
1C12,solA_1.0nM__DA0.5uM,0,76,1,,solA,1.0nM,0uM,0.5uM
1C12,solA_1.0nM__DA0.5uM,10,NA,32,,solA,1.0nM,0uM,0.5uM
1C5,solA_1.0nM__DA0.5uM,0,53,4,,solA,1.0nM,0uM,0.5uM
1C5,solA_1.0nM__DA0.5uM,10,NA,30,,solA,1.0nM,0uM,0.5uM
1A5,solA_10nM__DAno,0,66,2,,solA,10nM,0uM,no
1A5,solA_10nM__DAno,10,NA,47,,solA,10nM,0uM,no
1C3,solA_10nM__DAno,0,69,10,,solA,10nM,0uM,no
1C3,solA_10nM__DAno,10,NA,52,,solA,10nM,0uM,no
1F6,solA_10nM__DAno,0,75,3,,solA,10nM,0uM,no
1F6,solA_10nM__DAno,10,NA,51,,solA,10nM,0uM,no
1C6,solA_10nM__DA0.5uM,0,76,7,,solA,10nM,0uM,0.5uM
