well,treatment,t,eggs,juvs,inhibitor,stimulator,conc_inh
1B4,LY500_solA5,0,73,0,"LY294,002",solA_5nM,500uM
1D2,LY500_solA5,0,56,3,"LY294,002",solA_5nM,500uM
1F6,LY500_solA5,0,67,5,"LY294,002",solA_5nM,500uM
1B4,LY500_solA5,10,NA,8,"LY294,002",solA_5nM,500uM
1D2,LY500_solA5,10,NA,8,"LY294,002",solA_5nM,500uM
1F6,LY500_solA5,10,NA,7,"LY294,002",solA_5nM,500uM
1C1,LY50_solA5,0,88,0,"LY294,002",solA_5nM,50uM
1C8,LY50_solA5,0,70,10,"LY294,002",solA_5nM,50uM
1D3,LY50_solA5,0,71,2,"LY294,002",solA_5nM,50uM
1C1,LY50_solA5,10,NA,19,"LY294,002",solA_5nM,50uM
1C8,LY50_solA5,10,NA,31,"LY294,002",solA_5nM,50uM
1D3,LY50_solA5,10,NA,23,"LY294,002",solA_5nM,50uM
1D8,solA5,0,71,6,"LY294,002",solA_5nM,0uM
1E1,solA5,0,75,3,"LY294,002",solA_5nM,0uM
1D8,solA5,10,NA,47,"LY294,002",solA_5nM,0uM
1E1,solA5,10,NA,28,"LY294,002",solA_5nM,0uM
1A11,solA5,0,58,3,"LY294,002",solA_5nM,0uM
1D3,solA5,0,83,7,"LY294,002",solA_5nM,0uM
1E6,solA5,0,58,7,"LY294,002",solA_5nM,0uM
1A11,solA5,10,NA,26,"LY294,002",solA_5nM,0uM
1D3,solA5,10,NA,52,"LY294,002",solA_5nM,0uM
1E6,solA5,10,NA,43,"LY294,002",solA_5nM,0uM
