well,treatment,t,eggs,juvs,concentration(uM)
1B4,LY25_solA50,0,90,9,25
1B6,LY25_solA50,0,69,2,25
1G2,LY25_solA50,0,49,6,25
1B4,LY25_solA50,9,NA,36,25
1B6,LY25_solA50,9,NA,27,25
1G2,LY25_solA50,9,NA,15,25
1C2,solA50,0,60,5,0
1C3,solA50,0,93,8,0
1D1,solA50,0,87,2,0
1C2,solA50,9,NA,38,0
1C3,solA50,9,NA,55,0
1D1,solA50,9,NA,44,0
1B8,LY100_solA50,0,113,16,100
1C4,LY100_solA50,0,109,11,100
1E1,LY100_solA50,0,127,10,100
1B8,LY100_solA50,11,NA,21,100
1C4,LY100_solA50,11,NA,26,100
1E1,LY100_solA50,11,NA,14,100
1A7,LY500_solA50,0,142,7,500
1B6,LY500_solA50,0,124,8,500
1D7,LY500_solA50,0,105,4,500
1A7,LY500_solA50,11,NA,14,500
1B6,LY500_solA50,11,NA,15,500
1D7,LY500_solA50,11,NA,23,500
1B4,LY500_solA5,0,73,0,500
1D2,LY500_solA5,0,56,3,500
1F6,LY500_solA5,0,67,5,500
1B4,LY500_solA5,10,NA,8,500
1D2,LY500_solA5,10,NA,8,500
1F6,LY500_solA5,10,NA,7,500
1C1,LY50_solA5,0,88,0,50
1C8,LY50_solA5,0,70,10,50
1D3,LY50_solA5,0,71,2,50
1C1,LY50_solA5,10,NA,19,50
1C8,LY50_solA5,10,NA,31,50
1D3,LY50_solA5,10,NA,23,50
1D8,solA5,0,71,6,0
1E1,solA5,0,75,3,0
1D8,solA5,10,NA,47,0
1E1,solA5,10,NA,28,0
1A11,solA5,0,58,3,0
1D3,solA5,0,83,7,0
1E6,solA5,0,58,7,0
1A11,solA5,10,NA,26,0
1D3,solA5,10,NA,52,0
1E6,solA5,10,NA,43,0
