well,treatment,t,eggs,juvs,species,date,REtype
A1,PRE,0,82,19,Gro_mrnb,01/05/2018,PRE
A2,PRE,0,72,26,Gro_mrnb,01/05/2018,PRE
A3,PRE,0,66,28,Gro_mrnb,01/05/2018,PRE
A1,PRE,15,41,60,Gro_mrnb,01/05/2018,PRE
A2,PRE,15,37,60,Gro_mrnb,01/05/2018,PRE
A3,PRE,15,33,61,Gro_mrnb,01/05/2018,PRE
B7,TRE,0,163,12,Gpa_rkmr,22/06/2018,tommother
B8,TRE,0,75,10,Gpa_rkmr,22/06/2018,tommother
B9,TRE,0,177,11,Gpa_rkmr,22/06/2018,tommother
B7,TRE,17,94,81,Gpa_rkmr,22/06/2018,tommother
B8,TRE,17,50,35,Gpa_rkmr,22/06/2018,tommother
B9,TRE,17,101,87,Gpa_rkmr,22/06/2018,tommother
C8,PRE,0,55,4,Gpa_rkmr,22/06/2018,potHLBmother
C9,PRE,0,92,8,Gpa_rkmr,22/06/2018,potHLBmother
C10,TRE,0,133,5,Gpa_rkmr,22/06/2018,TRD2018-1(W)
C11,TRE,0,101,2,Gpa_rkmr,22/06/2018,TRD2018-1(W)
C12,TRE,0,140,4,Gpa_rkmr,22/06/2018,TRD2018-1(W)
D1,TRE,0,68,7,Gpa_rkmr,22/06/2018,TRD2018-2(W)
D2,TRE,0,196,11,Gpa_rkmr,22/06/2018,TRD2018-2(W)
D3,TRE,0,115,5,Gpa_rkmr,22/06/2018,TRD2018-2(W)
C8,PRE,17,54,5,Gpa_rkmr,22/06/2018,potHLBmother
C9,PRE,17,86,14,Gpa_rkmr,22/06/2018,potHLBmother
C10,TRE,17,126,12,Gpa_rkmr,22/06/2018,TRD2018-1(W)
C11,TRE,17,55,48,Gpa_rkmr,22/06/2018,TRD2018-1(W)
C12,TRE,17,121,23,Gpa_rkmr,22/06/2018,TRD2018-1(W)
D1,TRE,17,65,10,Gpa_rkmr,22/06/2018,TRD2018-2(W)
D2,TRE,17,187,20,Gpa_rkmr,22/06/2018,TRD2018-2(W)
D3,TRE,17,102,18,Gpa_rkmr,22/06/2018,TRD2018-2(W)
A7,TRE,0,143,15,Gro_mrnb,22/06/2018,TRD2018-1(W)
