well,treatment,t,eggs,juvs,inhibitor,stimulator,conc_inh
1A7,solA_5nM_AktinhIV_10uM,0,68,5,AktinhIV,solA_5nM,10uM
1C9,solA_5nM_AktinhIV_10uM,0,60,9,AktinhIV,solA_5nM,10uM
1E12,solA_5nM_AktinhIV_10uM,0,60,3,AktinhIV,solA_5nM,10uM
1A7,solA_5nM_AktinhIV_10uM,10,NA,22,AktinhIV,solA_5nM,10uM
1C9,solA_5nM_AktinhIV_10uM,10,NA,28,AktinhIV,solA_5nM,10uM
1E12,solA_5nM_AktinhIV_10uM,10,NA,21,AktinhIV,solA_5nM,10uM
1D4,solA_5nM_AktinhIV_100uM,0,56,6,AktinhIV,solA_5nM,100uM
1D11,solA_5nM_AktinhIV_100uM,0,68,8,AktinhIV,solA_5nM,100uM
1F4,solA_5nM_AktinhIV_100uM,0,60,10,AktinhIV,solA_5nM,100uM
1D4,solA_5nM_AktinhIV_100uM,10,NA,13,AktinhIV,solA_5nM,100uM
1D11,solA_5nM_AktinhIV_100uM,10,NA,25,AktinhIV,solA_5nM,100uM
1F4,solA_5nM_AktinhIV_100uM,10,NA,11,AktinhIV,solA_5nM,100uM
1A5,solA_5nM_AktinhIV_50uM,0,52,8,AktinhIV,solA_5nM,50uM
1B10,solA_5nM_AktinhIV_50uM,0,72,5,AktinhIV,solA_5nM,50uM
1E10,solA_5nM_AktinhIV_50uM,0,63,13,AktinhIV,solA_5nM,50uM
1A5,solA_5nM_AktinhIV_50uM,10,NA,15,AktinhIV,solA_5nM,50uM
1B10,solA_5nM_AktinhIV_50uM,10,NA,18,AktinhIV,solA_5nM,50uM
1E10,solA_5nM_AktinhIV_50uM,10,NA,23,AktinhIV,solA_5nM,50uM
1A11,solA_5nM_AktinhIV_0uM,0,58,3,AktinhIV,solA_5nM,0uM
1D3,solA_5nM_AktinhIV_0uM,0,83,7,AktinhIV,solA_5nM,0uM
1E6,solA_5nM_AktinhIV_0uM,0,58,7,AktinhIV,solA_5nM,0uM
1A11,solA_5nM_AktinhIV_0uM,10,NA,26,AktinhIV,solA_5nM,0uM
1D3,solA_5nM_AktinhIV_0uM,10,NA,52,AktinhIV,solA_5nM,0uM
1E6,solA_5nM_AktinhIV_0uM,10,NA,43,AktinhIV,solA_5nM,0uM
1D1,solA_5nM_AktinhIV_25uM,0,64,1,AktinhIV,solA_5nM,25uM
1E2,solA_5nM_AktinhIV_25uM,0,80,2,AktinhIV,solA_5nM,25uM
1E9,solA_5nM_AktinhIV_25uM,0,64,10,AktinhIV,solA_5nM,25uM
1D1,solA_5nM_AktinhIV_25uM,10,NA,10,AktinhIV,solA_5nM,25uM
1E2,solA_5nM_AktinhIV_25uM,10,NA,12,AktinhIV,solA_5nM,25uM
1E9,solA_5nM_AktinhIV_25uM,10,NA,18,AktinhIV,solA_5nM,25uM
1D8,solA_5nM_AktinhIV_0uM,0,71,6,AktinhIV,solA_5nM,0uM
1E1,solA_5nM_AktinhIV_0uM,0,75,3,AktinhIV,solA_5nM,0uM
1D8,solA_5nM_AktinhIV_0uM,10,NA,47,AktinhIV,solA_5nM,0uM
1E1,solA_5nM_AktinhIV_0uM,10,NA,28,AktinhIV,solA_5nM,0uM
D1,TRD_hsolA_AktinhIV_50uM,0,58,12,AktinhIV,TRD_hsolA,50uM
D9,TRD_hsolA_AktinhIV_50uM,0,60,12,AktinhIV,TRD_hsolA,50uM
1G4,TRD_hsolA_AktinhIV_50uM,0,64,11,AktinhIV,TRD_hsolA,50uM
D1,TRD_hsolA_AktinhIV_50uM,10,NA,13,AktinhIV,TRD_hsolA,50uM
D9,TRD_hsolA_AktinhIV_50uM,10,NA,15,AktinhIV,TRD_hsolA,50uM
1G4,TRD_hsolA_AktinhIV_50uM,10,NA,19,AktinhIV,TRD_hsolA,50uM
D6,TRD_hsolA_AktinhIV_0uM,0,60,7,AktinhIV,TRD_hsolA,0uM
