well,treatment,t,eggs,juvs,concentration(uM)
1A11,solA5,0,58,3,0
1D3,solA5,0,83,7,0
1E6,solA5,0,58,7,0
1A11,solA5,10,NA,26,0
1D3,solA5,10,NA,52,0
1E6,solA5,10,NA,43,0
1D8,solA5,0,71,6,0
1E1,solA5,0,75,3,0
1D8,solA5,10,NA,47,0
1E1,solA5,10,NA,28,0
1C3,solA5_atrop2.5,0,96,0,2500
1E4,solA5_atrop2.5,0,46,5,2500
1E5,solA5_atrop2.5,0,71,6,2500
1C3,solA5_atrop2.5,10,NA,8,2500
1E4,solA5_atrop2.5,10,NA,7,2500
1E5,solA5_atrop2.5,10,NA,15,2500
1C4,solA5_atrop5,0,76,4,5000
1D5,solA5_atrop5,0,52,8,5000
1G3,solA5_atrop5,0,56,15,5000
1C4,solA5_atrop5,10,NA,20,5000
1D5,solA5_atrop5,10,NA,18,5000
1G3,solA5_atrop5,10,NA,26,5000
H10,solA20_atrop1,0,65,11,1000
H11,solA20_atrop1,0,87,9,1000
H12,solA20_atrop1,0,84,9,1000
H10,solA20_atrop1,14,NA,25,1000
H11,solA20_atrop1,14,NA,18,1000
H12,solA20_atrop1,14,NA,22,1000
F7,solA20,0,93,8,0
F8,solA20,0,99,16,0
F9,solA20,0,100,5,0
F7,solA20,14,NA,44,0
F8,solA20,14,NA,54,0
F9,solA20,14,NA,45,0
