well,treatment,t,eggs,juvs,inhibitor,stimulator,conc_inh
1A11,solA_5nM_0mM_atropine,0,58,3,atropine,solA_5nM,0mM
1D3,solA_5nM_0mM_atropine,0,83,7,atropine,solA_5nM,0mM
1E6,solA_5nM_0mM_atropine,0,58,7,atropine,solA_5nM,0mM
1A11,solA_5nM_0mM_atropine,10,NA,26,atropine,solA_5nM,0mM
1D3,solA_5nM_0mM_atropine,10,NA,52,atropine,solA_5nM,0mM
1E6,solA_5nM_0mM_atropine,10,NA,43,atropine,solA_5nM,0mM
1D8,solA_5nM_0mM_atropine,0,71,6,atropine,solA_5nM,0mM
1E1,solA_5nM_0mM_atropine,0,75,3,atropine,solA_5nM,0mM
1D8,solA_5nM_0mM_atropine,10,NA,47,atropine,solA_5nM,0mM
1E1,solA_5nM_0mM_atropine,10,NA,28,atropine,solA_5nM,0mM
1C3,solA_5nM_2.5mM_atropine,0,96,0,atropine,solA_5nM,2.5mM
1E4,solA_5nM_2.5mM_atropine,0,46,5,atropine,solA_5nM,2.5mM
1E5,solA_5nM_2.5mM_atropine,0,71,6,atropine,solA_5nM,2.5mM
1C3,solA_5nM_2.5mM_atropine,10,NA,8,atropine,solA_5nM,2.5mM
1E4,solA_5nM_2.5mM_atropine,10,NA,7,atropine,solA_5nM,2.5mM
1E5,solA_5nM_2.5mM_atropine,10,NA,15,atropine,solA_5nM,2.5mM
1C4,solA_5nM_5.0mM_atropine,0,76,4,atropine,solA_5nM,5.0mM
1D5,solA_5nM_5.0mM_atropine,0,52,8,atropine,solA_5nM,5.0mM
1G3,solA_5nM_5.0mM_atropine,0,56,15,atropine,solA_5nM,5.0mM
1C4,solA_5nM_5.0mM_atropine,10,NA,20,atropine,solA_5nM,5.0mM
1D5,solA_5nM_5.0mM_atropine,10,NA,18,atropine,solA_5nM,5.0mM
1G3,solA_5nM_5.0mM_atropine,10,NA,26,atropine,solA_5nM,5.0mM
1C7,TRD_lsolA_2.5mM_atropine,0,80,2,atropine,TRD_lsolA,2.5mM
1C7,TRD_lsolA_2.5mM_atropine,10,NA,13,atropine,TRD_lsolA,2.5mM
1D5,TRD_lsolA_2.5mM_atropine,0,62,6,atropine,TRD_lsolA,2.5mM
1D5,TRD_lsolA_2.5mM_atropine,10,NA,14,atropine,TRD_lsolA,2.5mM
1E8,TRD_lsolA_2.5mM_atropine,0,100,4,atropine,TRD_lsolA,2.5mM
1E8,TRD_lsolA_2.5mM_atropine,10,NA,11,atropine,TRD_lsolA,2.5mM
D8,TRD_lsolA_5.0mM_atropine,0,61,8,atropine,TRD_lsolA,5.0mM
1G2,TRD_lsolA_5.0mM_atropine,0,60,6,atropine,TRD_lsolA,5.0mM
1H8,TRD_lsolA_5.0mM_atropine,0,95,16,atropine,TRD_lsolA,5.0mM
D8,TRD_lsolA_5.0mM_atropine,10,NA,7,atropine,TRD_lsolA,5.0mM
1G2,TRD_lsolA_5.0mM_atropine,10,NA,13,atropine,TRD_lsolA,5.0mM
1H8,TRD_lsolA_5.0mM_atropine,10,NA,15,atropine,TRD_lsolA,5.0mM
1E11,TRD_lsolA_1.0mM_atropine,0,82,5,atropine,TRD_lsolA,1.0mM
1E11,TRD_lsolA_1.0mM_atropine,10,NA,49,atropine,TRD_lsolA,1.0mM
1F10,TRD_lsolA_1.0mM_atropine,0,86,13,atropine,TRD_lsolA,1.0mM
1F10,TRD_lsolA_1.0mM_atropine,10,NA,77,atropine,TRD_lsolA,1.0mM
1F7,TRD_lsolA_1.0mM_atropine,0,75,2,atropine,TRD_lsolA,1.0mM
1F7,TRD_lsolA_1.0mM_atropine,10,NA,60,atropine,TRD_lsolA,1.0mM
