well,treatment,t,eggs,juvs,concentration(uM),combinedwith,date
E10,8cG_5mM_200507,0,73,14,5000,NA,200507
E11,8cG_5mM_200507,0,60,14,5000,NA,200507
E12,8cG_5mM_200507,0,66,5,5000,NA,200507
E10,8cG_5mM_200507,14,NA,42,5000,NA,200507
E11,8cG_5mM_200507,14,NA,36,5000,NA,200507
E12,8cG_5mM_200507,14,NA,36,5000,NA,200507
1C4,8cG_.2mM_200527,0,66,5,200,NA,200527
1F4,8cG_.2mM_200527,0,88,8,200,NA,200527
1G11,8cG_.2mM_200527,0,66,5,200,NA,200527
1C4,8cG_.2mM_200527,9,NA,23,200,NA,200527
1F4,8cG_.2mM_200527,9,NA,24,200,NA,200527
1G11,8cG_.2mM_200527,9,NA,25,200,NA,200527
1B8,8cG_1mM_200527,0,107,10,1000,NA,200527
1F8,8cG_1mM_200527,0,106,6,1000,NA,200527
1G10,8cG_1mM_200527,0,58,5,1000,NA,200527
1B8,8cG_1mM_200527,9,NA,78,1000,NA,200527
1F8,8cG_1mM_200527,9,NA,71,1000,NA,200527
1G10,8cG_1mM_200527,9,NA,33,1000,NA,200527
1D6,8cG_2.5mM_200527,0,81,9,2500,NA,200527
1E9,8cG_2.5mM_200527,0,71,6,2500,NA,200527
1F11,8cG_2.5mM_200527,0,74,4,2500,NA,200527
1D6,8cG_2.5mM_200527,9,NA,55,2500,NA,200527
1E9,8cG_2.5mM_200527,9,NA,53,2500,NA,200527
1F11,8cG_2.5mM_200527,9,NA,41,2500,NA,200527
1E4,8cG_1mM_atr5mM_200702,0,104,9,1000,atropine5mM,200702
1G10,8cG_1mM_atr5mM_200702,0,105,6,1000,atropine5mM,200702
1H2,8cG_1mM_atr5mM_200702,0,85,2,1000,atropine5mM,200702
1E4,8cG_1mM_atr5mM_200702,11,NA,36,1000,atropine5mM,200702
1G10,8cG_1mM_atr5mM_200702,11,NA,46,1000,atropine5mM,200702
1H2,8cG_1mM_atr5mM_200702,11,NA,26,1000,atropine5mM,200702
1B12,8cG_1mM_dfd50uM_200702,0,114,4,1000,dafadine50uM,200702
1E7,8cG_1mM_dfd50uM_200702,0,88,2,1000,dafadine50uM,200702
1H5,8cG_1mM_dfd50uM_200702,0,84,5,1000,dafadine50uM,200702
2H2,8cG_1mM_dfd50uM_200702,0,122,17,1000,dafadine50uM,200702
1B12,8cG_1mM_dfd50uM_200702,11,NA,36,1000,dafadine50uM,200702
1E7,8cG_1mM_dfd50uM_200702,11,NA,2,1000,dafadine50uM,200702
1H5,8cG_1mM_dfd50uM_200702,11,NA,27,1000,dafadine50uM,200702
2H2,8cG_1mM_dfd50uM_200702,11,NA,37,1000,dafadine50uM,200702
1F5,8cG_1mM_ktc500uM_200702,0,78,0,1000,ketoconazole500uM,200702
1G8,8cG_1mM_ktc500uM_200702,0,79,4,1000,ketoconazole500uM,200702
1H6,8cG_1mM_ktc500uM_200702,0,69,0,1000,ketoconazole500uM,200702
1F5,8cG_1mM_ktc500uM_200702,11,NA,16,1000,ketoconazole500uM,200702
1G8,8cG_1mM_ktc500uM_200702,11,NA,19,1000,ketoconazole500uM,200702
1H6,8cG_1mM_ktc500uM_200702,11,NA,2,1000,ketoconazole500uM,200702
1F4,8cG_1mM_LY500uM_200702,0,91,5,1000,LY500uM,200702
2G4,8cG_1mM_LY500uM_200702,0,124,8,1000,LY500uM,200702
2G5,8cG_1mM_LY500uM_200702,0,93,9,1000,LY500uM,200702
1F4,8cG_1mM_LY500uM_200702,11,NA,35,1000,LY500uM,200702
2G4,8cG_1mM_LY500uM_200702,11,NA,34,1000,LY500uM,200702
2G5,8cG_1mM_LY500uM_200702,11,NA,38,1000,LY500uM,200702
1B12,8brc1,0,74,36,1000,NA,200918
1E3,8brc1,0,71,6,1000,NA,200918
1B12,8brc1,10,NA,70,1000,NA,200918
1E3,8brc1,10,NA,36,1000,NA,200918
1C2,8brc1_Akt25,0,78,16,1000,Akt25uM,200918
1C5,8brc1_Akt25,0,72,36,1000,Akt25uM,200918
1D10,8brc1_Akt25,0,78,21,1000,Akt25uM,200918
1C2,8brc1_Akt25,10,NA,44,1000,Akt25uM,200918
1C5,8brc1_Akt25,10,NA,66,1000,Akt25uM,200918
1D10,8brc1_Akt25,10,NA,50,1000,Akt25uM,200918
1D6,8brc1_atrop2.5,0,77,6,1000,atrop2.5mM,200918
1D7,8brc1_atrop2.5,0,74,3,1000,atrop2.5mM,200918
1D12,8brc1_atrop2.5,0,81,11,1000,atrop2.5mM,200918
1D6,8brc1_atrop2.5,10,NA,29,1000,atrop2.5mM,200918
1D7,8brc1_atrop2.5,10,NA,24,1000,atrop2.5mM,200918
1D12,8brc1_atrop2.5,10,NA,32,1000,atrop2.5mM,200918
1C11,8brc1_keto100,0,72,3,1000,keto100uM,200918
1D2,8brc1_keto100,0,59,2,1000,keto100uM,200918
1D5,8brc1_keto100,0,66,2,1000,keto100uM,200918
1C11,8brc1_keto100,10,NA,20,1000,keto100uM,200918
1D2,8brc1_keto100,10,NA,20,1000,keto100uM,200918
1D5,8brc1_keto100,10,NA,31,1000,keto100uM,200918
1D4,8brc1_LY50,0,68,2,1000,LY50uM,200918
1E10,8brc1_LY50,0,84,9,1000,LY50uM,200918
1E11,8brc1_LY50,0,72,7,1000,LY50uM,200918
1D4,8brc1_LY50,10,NA,22,1000,LY50uM,200918
1E10,8brc1_LY50,10,NA,33,1000,LY50uM,200918
1E11,8brc1_LY50,10,NA,24,1000,LY50uM,200918
