well,treatment,t,eggs,juvs,concentration(uM),combinedwith,date
1A1,Akt_PRD,0,53,6,100,PRD0.3,200714
1B9,Akt_PRD,0,71,6,100,PRD0.3,200714
1G2,Akt_PRD,0,53,10,100,PRD0.3,200714
1A1,Akt_PRD,10,NA,5,100,PRD0.3,200714
1B9,Akt_PRD,10,NA,5,100,PRD0.3,200714
1G2,Akt_PRD,10,NA,12,100,PRD0.3,200714
1A7,Akt10_solA5,0,68,5,10,solA5,200714
1C9,Akt10_solA5,0,60,9,10,solA5,200714
1E12,Akt10_solA5,0,60,3,10,solA5,200714
1A7,Akt10_solA5,10,NA,22,10,solA5,200714
1C9,Akt10_solA5,10,NA,28,10,solA5,200714
1E12,Akt10_solA5,10,NA,21,10,solA5,200714
1D4,Akt100_solA5,0,56,6,100,solA5,200714
1D11,Akt100_solA5,0,68,8,100,solA5,200714
1F4,Akt100_solA5,0,60,10,100,solA5,200714
1D4,Akt100_solA5,10,NA,13,100,solA5,200714
1D11,Akt100_solA5,10,NA,25,100,solA5,200714
1F4,Akt100_solA5,10,NA,11,100,solA5,200714
1A5,Akt50_solA5,0,52,8,50,solA5,200714
1B10,Akt50_solA5,0,72,5,50,solA5,200714
1E10,Akt50_solA5,0,63,13,50,solA5,200714
1A5,Akt50_solA5,10,NA,15,50,solA5,200714
1B10,Akt50_solA5,10,NA,18,50,solA5,200714
1E10,Akt50_solA5,10,NA,23,50,solA5,200714
1A11,solA5,0,58,3,0,solA5,200714
1D3,solA5,0,83,7,0,solA5,200714
1E6,solA5,0,58,7,0,solA5,200714
1A11,solA5,10,NA,26,0,solA5,200714
1D3,solA5,10,NA,52,0,solA5,200714
1E6,solA5,10,NA,43,0,solA5,200714
1F11,PRD0.3,0,118,5,0,PRD0.3,200702
1G6,PRD0.3,0,85,9,0,PRD0.3,200702
1H12,PRD0.3,0,85,10,0,PRD0.3,200702
1F11,PRD0.3,11,NA,98,0,PRD0.3,200702
1G6,PRD0.3,11,NA,79,0,PRD0.3,200702
1H12,PRD0.3,11,NA,67,0,PRD0.3,200702
D1,Akt_TRD_hsolA,0,58,12,50,TRD_hsolA,200824
D9,Akt_TRD_hsolA,0,60,12,50,TRD_hsolA,200824
1G4,Akt_TRD_hsolA,0,64,11,50,TRD_hsolA,200824
D1,Akt_TRD_hsolA,10,NA,13,50,TRD_hsolA,200824
D9,Akt_TRD_hsolA,10,NA,15,50,TRD_hsolA,200824
1G4,Akt_TRD_hsolA,10,NA,19,50,TRD_hsolA,200824
D10,Akt_TRD_lsolA,0,55,8,50,TRD_lsolA,200824
1F6,Akt_TRD_lsolA,0,80,7,50,TRD_lsolA,200824
1G10,Akt_TRD_lsolA,0,59,4,50,TRD_lsolA,200824
D10,Akt_TRD_lsolA,10,NA,13,50,TRD_lsolA,200824
1F6,Akt_TRD_lsolA,10,NA,15,50,TRD_lsolA,200824
1G10,Akt_TRD_lsolA,10,NA,8,50,TRD_lsolA,200824
D6,TRD_hsolA,0,60,7,0,TRD_hsolA,200824
1E6,TRD_hsolA,0,77,8,0,TRD_hsolA,200824
1G12,TRD_hsolA,0,86,13,0,TRD_hsolA,200824
D6,TRD_hsolA,10,NA,40,0,TRD_hsolA,200824
1E6,TRD_hsolA,10,NA,53,0,TRD_hsolA,200824
1G12,TRD_hsolA,10,NA,53,0,TRD_hsolA,200824
1E7,TRD_lsolA,0,93,5,0,TRD_lsolA,200824
1F9,TRD_lsolA,0,81,13,0,TRD_lsolA,200824
1G7,TRD_lsolA,0,64,8,0,TRD_lsolA,200824
1E7,TRD_lsolA,10,NA,69,0,TRD_lsolA,200824
1F9,TRD_lsolA,10,NA,59,0,TRD_lsolA,200824
1G7,TRD_lsolA,10,NA,44,0,TRD_lsolA,200824
1D7,akt_10_TRD_hsolA,0,92,2,10,TRD_hsolA,200911
1D7,akt_10_TRD_hsolA,10,NA,72,10,TRD_hsolA,200911
1G4,akt_10_TRD_hsolA,0,78,9,10,TRD_hsolA,200911
1G4,akt_10_TRD_hsolA,10,NA,49,10,TRD_hsolA,200911
1G8,akt_10_TRD_hsolA,0,90,15,10,TRD_hsolA,200911
1G8,akt_10_TRD_hsolA,10,NA,62,10,TRD_hsolA,200911
1A3,akt_10_TRD_lsolA,0,67,2,10,TRD_lsolA,200911
1A3,akt_10_TRD_lsolA,10,NA,49,10,TRD_lsolA,200911
1F2,akt_10_TRD_lsolA,0,87,5,10,TRD_lsolA,200911
1F2,akt_10_TRD_lsolA,10,NA,77,10,TRD_lsolA,200911
1F9,akt_10_TRD_lsolA,0,88,7,10,TRD_lsolA,200911
1F9,akt_10_TRD_lsolA,10,NA,82,10,TRD_lsolA,200911
1A9,akt_25_TRD_hsolA,0,72,11,25,TRD_hsolA,200911
1A9,akt_25_TRD_hsolA,10,NA,28,25,TRD_hsolA,200911
1B5,akt_25_TRD_hsolA,0,53,7,25,TRD_hsolA,200911
1B5,akt_25_TRD_hsolA,10,NA,12,25,TRD_hsolA,200911
1F1,akt_25_TRD_hsolA,0,77,3,25,TRD_hsolA,200911
1F1,akt_25_TRD_hsolA,10,NA,13,25,TRD_hsolA,200911
1A8,akt_25_TRD_lsolA,0,71,15,25,TRD_lsolA,200911
1A8,akt_25_TRD_lsolA,10,NA,29,25,TRD_lsolA,200911
1D9,akt_25_TRD_lsolA,0,63,4,25,TRD_lsolA,200911
1D9,akt_25_TRD_lsolA,10,NA,17,25,TRD_lsolA,200911
1E7,akt_25_TRD_lsolA,0,53,2,25,TRD_lsolA,200911
1E7,akt_25_TRD_lsolA,10,NA,20,25,TRD_lsolA,200911
1A7,TRD_hsolA,0,66,2,0,TRD_hsolA,200911
1A7,TRD_hsolA,10,NA,63,0,TRD_hsolA,200911
1F12,TRD_hsolA,0,87,16,0,TRD_hsolA,200911
1F12,TRD_hsolA,10,NA,89,0,TRD_hsolA,200911
1G6,TRD_hsolA,0,116,4,0,TRD_hsolA,200911
1G6,TRD_hsolA,10,NA,92,0,TRD_hsolA,200911
1A12,TRD_lsolA,0,73,16,0,TRD_lsolA,200911
1A12,TRD_lsolA,10,NA,69,0,TRD_lsolA,200911
1C11,TRD_lsolA,0,80,7,0,TRD_lsolA,200911
1C11,TRD_lsolA,10,NA,73,0,TRD_lsolA,200911
1F3,TRD_lsolA,0,81,13,0,TRD_lsolA,200911
1F3,TRD_lsolA,10,NA,76,0,TRD_lsolA,200911
1D1,solA5_Akt25,0,64,1,25,solA5,200918
1E2,solA5_Akt25,0,80,2,25,solA5,200918
1E9,solA5_Akt25,0,64,10,25,solA5,200918
1D1,solA5_Akt25,10,NA,10,25,solA5,200918
1E2,solA5_Akt25,10,NA,12,25,solA5,200918
1E9,solA5_Akt25,10,NA,18,25,solA5,200918
1D8,solA5,0,71,6,0,solA5,200918
1E1,solA5,0,75,3,0,solA5,200918
1D8,solA5,10,NA,47,0,solA5,200918
1E1,solA5,10,NA,28,0,solA5,200918
