well,treatment,t,eggs,juvs,concentration(uM),combinedwith,date
1C8,LY294002_25uM_PRE1_200527,0,80,5,25,PRE1,200527
1C9,LY294002_25uM_PRE1_200527,0,59,3,25,PRE1,200527
1E1,LY294002_25uM_PRE1_200527,0,89,7,25,PRE1,200527
1C8,LY294002_25uM_PRE1_200527,9,NA,50,25,PRE1,200527
1C9,LY294002_25uM_PRE1_200527,9,NA,31,25,PRE1,200527
1E1,LY294002_25uM_PRE1_200527,9,NA,48,25,PRE1,200527
1B4,LY294002_25uM_solA50_200527,0,90,9,25,solA50,200527
1B6,LY294002_25uM_solA50_200527,0,69,2,25,solA50,200527
1G2,LY294002_25uM_solA50_200527,0,49,6,25,solA50,200527
1B4,LY294002_25uM_solA50_200527,9,NA,36,25,solA50,200527
1B6,LY294002_25uM_solA50_200527,9,NA,27,25,solA50,200527
1G2,LY294002_25uM_solA50_200527,9,NA,15,25,solA50,200527
1C2,solA50_200527,0,60,5,0,solA50,200527
1C3,solA50_200527,0,93,8,0,solA50,200527
1D1,solA50_200527,0,87,2,0,solA50,200527
1C2,solA50_200527,9,NA,38,0,solA50,200527
1C3,solA50_200527,9,NA,55,0,solA50,200527
1D1,solA50_200527,9,NA,44,0,solA50,200527
1D4,PRE1_200527,0,75,5,0,PRE1,200527
1F10,PRE1_200527,0,57,5,0,PRE1,200527
1H1,PRE1_200527,0,60,9,0,PRE1,200527
1D4,PRE1_200527,9,NA,70,0,PRE1,200527
1F10,PRE1_200527,9,NA,51,0,PRE1,200527
1H1,PRE1_200527,9,NA,56,0,PRE1,200527
1B8,LY294002_100uM_solA50_200618,0,113,16,100,solA50,200618
1C4,LY294002_100uM_solA50_200618,0,109,11,100,solA50,200618
1E1,LY294002_100uM_solA50_200618,0,127,10,100,solA50,200618
1B8,LY294002_100uM_solA50_200618,11,NA,21,100,solA50,200618
1C4,LY294002_100uM_solA50_200618,11,NA,26,100,solA50,200618
1E1,LY294002_100uM_solA50_200618,11,NA,14,100,solA50,200618
1A7,LY294002_500uM_solA50_200618,0,142,7,500,solA50,200618
1B6,LY294002_500uM_solA50_200618,0,124,8,500,solA50,200618
1D7,LY294002_500uM_solA50_200618,0,105,4,500,solA50,200618
1A7,LY294002_500uM_solA50_200618,11,NA,14,500,solA50,200618
1B6,LY294002_500uM_solA50_200618,11,NA,15,500,solA50,200618
1D7,LY294002_500uM_solA50_200618,11,NA,23,500,solA50,200618
1B11,solA50_200618,0,118,13,0,solA50,200618
1D3,solA50_200618,0,97,16,0,solA50,200618
1D10,solA50_200618,0,120,9,0,solA50,200618
1B11,solA50_200618,11,NA,17,0,solA50,200618
1D3,solA50_200618,11,NA,33,0,solA50,200618
1D10,solA50_200618,11,NA,27,0,solA50,200618
1F4,LY294002_500uM_8bG1mM_200702,0,91,5,500,8bcGMP1mM,200702
2G4,LY294002_500uM_8bG1mM_200702,0,124,8,500,8bcGMP1mM,200702
2G5,LY294002_500uM_8bG1mM_200702,0,93,9,500,8bcGMP1mM,200702
1F4,LY294002_500uM_8bG1mM_200702,11,NA,35,500,8bcGMP1mM,200702
2G4,LY294002_500uM_8bG1mM_200702,11,NA,34,500,8bcGMP1mM,200702
2G5,LY294002_500uM_8bG1mM_200702,11,NA,38,500,8bcGMP1mM,200702
1H7,LY294002_500uM_PRE0.3_200702,0,91,8,500,PRE0.3,200702
1H9,LY294002_500uM_PRE0.3_200702,0,91,9,500,PRE0.3,200702
2G3,LY294002_500uM_PRE0.3_200702,0,107,1,500,PRE0.3,200702
1H7,LY294002_500uM_PRE0.3_200702,11,NA,31,500,PRE0.3,200702
1H9,LY294002_500uM_PRE0.3_200702,11,NA,29,500,PRE0.3,200702
2G3,LY294002_500uM_PRE0.3_200702,11,NA,19,500,PRE0.3,200702
1F11,PRE0.3_200702,0,118,5,0,PRE0.3,200702
1G6,PRE0.3_200702,0,85,9,0,PRE0.3,200702
1H12,PRE0.3_200702,0,85,10,0,PRE0.3,200702
1F11,PRE0.3_200702,11,NA,98,0,PRE0.3,200702
1G6,PRE0.3_200702,11,NA,79,0,PRE0.3,200702
1H12,PRE0.3_200702,11,NA,67,0,PRE0.3,200702
1B4,LY294002_500uM_solA5_200714,0,73,0,500,solA5,200714
1D2,LY294002_500uM_solA5_200714,0,56,3,500,solA5,200714
1F6,LY294002_500uM_solA5_200714,0,67,5,500,solA5,200714
1B4,LY294002_500uM_solA5_200714,10,NA,8,500,solA5,200714
1D2,LY294002_500uM_solA5_200714,10,NA,8,500,solA5,200714
1F6,LY294002_500uM_solA5_200714,10,NA,7,500,solA5,200714
1A11,solA5_200714,0,58,3,0,solA5,200714
1D3,solA5_200714,0,83,7,0,solA5,200714
1E6,solA5_200714,0,58,7,0,solA5,200714
1A11,solA5_200714,10,NA,26,0,solA5,200714
1D3,solA5_200714,10,NA,52,0,solA5,200714
1E6,solA5_200714,10,NA,43,0,solA5,200714
1B8,8cG_1mM_200527,0,107,10,0,8bcGMP1mM,200527
1F8,8cG_1mM_200527,0,106,6,0,8bcGMP1mM,200527
1G10,8cG_1mM_200527,0,58,5,0,8bcGMP1mM,200527
1B8,8cG_1mM_200527,9,NA,78,0,8bcGMP1mM,200527
1F8,8cG_1mM_200527,9,NA,71,0,8bcGMP1mM,200527
1G10,8cG_1mM_200527,9,NA,33,0,8bcGMP1mM,200527
