well,treatment,t,eggs,juvs,concentration(uM),combinedwith,date
F4,PRE1_200507,0,101,12,0,PRE1,200507
F5,PRE1_200507,0,76,10,0,PRE1,200507
F6,PRE1_200507,0,88,10,0,PRE1,200507
G7,atropine1mM_PRE1_200507,0,67,5,1000,PRE1,200507
G8,atropine1mM_PRE1_200507,0,101,14,1000,PRE1,200507
G9,atropine1mM_PRE1_200507,0,84,10,1000,PRE1,200507
F4,PRE1_200507,14,NA,74,0,PRE1,200507
F5,PRE1_200507,14,NA,59,0,PRE1,200507
F6,PRE1_200507,14,NA,86,0,PRE1,200507
G7,atropine1mM_PRE1_200507,14,NA,44,1000,PRE1,200507
G8,atropine1mM_PRE1_200507,14,NA,65,1000,PRE1,200507
G9,atropine1mM_PRE1_200507,14,NA,52,1000,PRE1,200507
F7,solA20_200507,0,93,8,0,solA20,200507
F8,solA20_200507,0,99,16,0,solA20,200507
F9,solA20_200507,0,100,5,0,solA20,200507
F7,solA20_200507,14,NA,44,0,solA20,200507
F8,solA20_200507,14,NA,54,0,solA20,200507
F9,solA20_200507,14,NA,45,0,solA20,200507
H10,atropine1mM_solA20nM_200507,0,65,11,1000,solA20,200507
H11,atropine1mM_solA20nM_200507,0,87,9,1000,solA20,200507
H12,atropine1mM_solA20nM_200507,0,84,9,1000,solA20,200507
H10,atropine1mM_solA20nM_200507,14,NA,25,1000,solA20,200507
H11,atropine1mM_solA20nM_200507,14,NA,18,1000,solA20,200507
H12,atropine1mM_solA20nM_200507,14,NA,22,1000,solA20,200507
1C10,atropine0.1mM_solA50_200527,0,42,4,100,solA50,200527
1G5,atropine0.1mM_solA50_200527,0,74,5,100,solA50,200527
1G7,atropine0.1mM_solA50_200527,0,50,6,100,solA50,200527
1C10,atropine0.1mM_solA50_200527,9,NA,24,100,solA50,200527
1G5,atropine0.1mM_solA50_200527,9,NA,43,100,solA50,200527
1G7,atropine0.1mM_solA50_200527,9,NA,24,100,solA50,200527
1A6,atropine1mM_solA50_200527,0,62,13,1000,solA50,200527
1F1,atropine1mM_solA50_200527,0,57,7,1000,solA50,200527
