well,treatment,t,eggs,juvs,concentration.uM.,combinedwith,date
1A11,dafadine25uM_PRE1_200527,0,65,5,25,PRE1,200527
1C5,dafadine25uM_PRE1_200527,0,84,3,25,PRE1,200527
1D10,dafadine25uM_PRE1_200527,0,89,5,25,PRE1,200527
1A11,dafadine25uM_PRE1_200527,9,NA,51,25,PRE1,200527
1C5,dafadine25uM_PRE1_200527,9,NA,75,25,PRE1,200527
1D10,dafadine25uM_PRE1_200527,9,NA,59,25,PRE1,200527
1C11,dafadine25uM_solA50_200527,0,79,7,25,solA50,200527
1D5,dafadine25uM_solA50_200527,0,71,6,25,solA50,200527
1H3,dafadine25uM_solA50_200527,0,74,4,25,solA50,200527
1C11,dafadine25uM_solA50_200527,9,NA,34,25,solA50,200527
1D5,dafadine25uM_solA50_200527,9,NA,39,25,solA50,200527
1H3,dafadine25uM_solA50_200527,9,NA,15,25,solA50,200527
1C2,solA50_200527,0,60,5,0,solA50,200527
1C3,solA50_200527,0,93,8,0,solA50,200527
1D1,solA50_200527,0,87,2,0,solA50,200527
1C2,solA50_200527,9,NA,38,0,solA50,200527
1C3,solA50_200527,9,NA,55,0,solA50,200527
1D1,solA50_200527,9,NA,44,0,solA50,200527
1D4,PRE1_200527,0,75,5,0,PRE1,200527
1F10,PRE1_200527,0,57,5,0,PRE1,200527
1H1,PRE1_200527,0,60,9,0,PRE1,200527
1D4,PRE1_200527,9,NA,70,0,PRE1,200527
1F10,PRE1_200527,9,NA,51,0,PRE1,200527
1H1,PRE1_200527,9,NA,56,0,PRE1,200527
1A8,dafadine10uM_solA50_200618,0,137,8,10,solA50,200618
1C7,dafadine10uM_solA50_200618,0,87,16,10,solA50,200618
1D9,dafadine10uM_solA50_200618,0,103,4,10,solA50,200618
1A8,dafadine10uM_solA50_200618,11,NA,24,10,solA50,200618
1C7,dafadine10uM_solA50_200618,11,NA,23,10,solA50,200618
1D9,dafadine10uM_solA50_200618,11,NA,15,10,solA50,200618
1A5,dafadine25uM_solA50_200618,0,139,5,25,solA50,200618
