well,treatment,t,eggs,juvs,concentration(uM),combinedwith,date
E4,ketocon_500uM_PRE1_200507,0,72,6,500,PRE1,200507
E5,ketocon_500uM_PRE1_200507,0,87,13,500,PRE1,200507
E6,ketocon_500uM_PRE1_200507,0,62,8,500,PRE1,200507
E4,ketocon_500uM_PRE1_200507,14,NA,50,500,PRE1,200507
E5,ketocon_500uM_PRE1_200507,14,NA,79,500,PRE1,200507
E6,ketocon_500uM_PRE1_200507,14,NA,45,500,PRE1,200507
F4,PRE1_200507,0,101,12,0,PRE1,200507
F5,PRE1_200507,0,76,10,0,PRE1,200507
F6,PRE1_200507,0,88,10,0,PRE1,200507
F4,PRE1_200507,14,NA,74,0,PRE1,200507
F5,PRE1_200507,14,NA,59,0,PRE1,200507
F6,PRE1_200507,14,NA,86,0,PRE1,200507
F7,solA20nM_200507,0,93,8,0,solA20,200507
F8,solA20nM_200507,0,99,16,0,solA20,200507
F9,solA20nM_200507,0,100,5,0,solA20,200507
H4,ketocon_500uM_solA20_200507,0,138,21,500,solA20,200507
H5,ketocon_500uM_solA20_200507,0,105,19,500,solA20,200507
H6,ketocon_500uM_solA20_200507,0,102,6,500,solA20,200507
F7,solA20nM_200507,14,NA,44,0,solA20,200507
F8,solA20nM_200507,14,NA,54,0,solA20,200507
F9,solA20nM_200507,14,NA,45,0,solA20,200507
H4,ketocon_500uM_solA20_200507,14,NA,33,500,solA20,200507
H5,ketocon_500uM_solA20_200507,14,NA,29,500,solA20,200507
H6,ketocon_500uM_solA20_200507,14,NA,22,500,solA20,200507
1F5,ketocon_500uM_8bG1mM_200702,0,78,0,500,8bcGMP1mM,200702
1G8,ketocon_500uM_8bG1mM_200702,0,79,4,500,8bcGMP1mM,200702
1H6,ketocon_500uM_8bG1mM_200702,0,69,0,500,8bcGMP1mM,200702
1F5,ketocon_500uM_8bG1mM_200702,11,NA,16,500,8bcGMP1mM,200702
1G8,ketocon_500uM_8bG1mM_200702,11,NA,19,500,8bcGMP1mM,200702
1H6,ketocon_500uM_8bG1mM_200702,11,NA,2,500,8bcGMP1mM,200702
1F6,ketocon_500uM_PRE0.3_200702,0,79,0,500,PRE0.3,200702
1H4,ketocon_500uM_PRE0.3_200702,0,56?,0,500,PRE0.3,200702
2H1,ketocon_500uM_PRE0.3_200702,0,115,1,500,PRE0.3,200702
1F6,ketocon_500uM_PRE0.3_200702,11,NA,NA,500,PRE0.3,200702
1H4,ketocon_500uM_PRE0.3_200702,11,NA,NA,500,PRE0.3,200702
2H1,ketocon_500uM_PRE0.3_200702,11,NA,17,500,PRE0.3,200702
1F11,PRE0.3_200702,0,118,5,0,PRE0.3,200702
1G6,PRE0.3_200702,0,85,9,0,PRE0.3,200702
1H12,PRE0.3_200702,0,85,10,0,PRE0.3,200702
1F11,PRE0.3_200702,11,NA,98,0,PRE0.3,200702
1G6,PRE0.3_200702,11,NA,79,0,PRE0.3,200702
1H12,PRE0.3_200702,11,NA,67,0,PRE0.3,200702
1B8,8cG_1mM_200527,0,107,10,0,8bcGMP1mM,200527
1F8,8cG_1mM_200527,0,106,6,0,8bcGMP1mM,200527
1G10,8cG_1mM_200527,0,58,5,0,8bcGMP1mM,200527
1B8,8cG_1mM_200527,9,NA,78,0,8bcGMP1mM,200527
1F8,8cG_1mM_200527,9,NA,71,0,8bcGMP1mM,200527
1G10,8cG_1mM_200527,9,NA,33,0,8bcGMP1mM,200527
D12,keto100_TRD_hsolA,0,58,7,100,TRD_hsolA,200824
1E5,keto100_TRD_hsolA,0,83,3,100,TRD_hsolA,200824
1F4,keto100_TRD_hsolA,0,63,19,100,TRD_hsolA,200824
D12,keto100_TRD_hsolA,10,NA,9,100,TRD_hsolA,200824
1E5,keto100_TRD_hsolA,10,NA,14,100,TRD_hsolA,200824
1F4,keto100_TRD_hsolA,10,NA,36,100,TRD_hsolA,200824
1F5,keto100_TRD_lsolA,0,81,6,100,TRD_lsolA,200824
1F12,keto100_TRD_lsolA,0,53,19,100,TRD_lsolA,200824
1H1,keto100_TRD_lsolA,0,70,10,100,TRD_lsolA,200824
1F5,keto100_TRD_lsolA,10,NA,33,100,TRD_lsolA,200824
1F12,keto100_TRD_lsolA,10,NA,31,100,TRD_lsolA,200824
1H1,keto100_TRD_lsolA,10,NA,20,100,TRD_lsolA,200824
1G5,keto200_TRD_hsolA,0,81,9,200,TRD_hsolA,200824
1G11,keto200_TRD_hsolA,0,69,33,200,TRD_hsolA,200824
1H2,keto200_TRD_hsolA,0,57,9,200,TRD_hsolA,200824
1G5,keto200_TRD_hsolA,10,NA,20,200,TRD_hsolA,200824
1G11,keto200_TRD_hsolA,10,NA,44,200,TRD_hsolA,200824
1H2,keto200_TRD_hsolA,10,NA,25,200,TRD_hsolA,200824
D3,keto200_TRD_lsolA,0,82,7,200,TRD_lsolA,200824
1G6,keto200_TRD_lsolA,0,71,3,200,TRD_lsolA,200824
1H4,keto200_TRD_lsolA,0,60,5,200,TRD_lsolA,200824
D3,keto200_TRD_lsolA,10,NA,49,200,TRD_lsolA,200824
1G6,keto200_TRD_lsolA,10,NA,29,200,TRD_lsolA,200824
1H4,keto200_TRD_lsolA,10,NA,40,200,TRD_lsolA,200824
E2,ketoc100_solA5,0,83,5,100,solA5,200824
1F1,ketoc100_solA5,0,57,23,100,solA5,200824
1H7,ketoc100_solA5,0,59,5,100,solA5,200824
E2,ketoc100_solA5,10,NA,12,100,solA5,200824
1F1,ketoc100_solA5,10,NA,20,100,solA5,200824
1H7,ketoc100_solA5,10,NA,10,100,solA5,200824
1F8,ketoc200_solA5,0,53,5,200,solA5,200824
1F10,ketoc200_solA5,0,59,3,200,solA5,200824
1G1,ketoc200_solA5,0,53,14,200,solA5,200824
1F8,ketoc200_solA5,10,NA,6,200,solA5,200824
1F10,ketoc200_solA5,10,NA,4,200,solA5,200824
1G1,ketoc200_solA5,10,NA,15,200,solA5,200824
1G8,solA5,0,65,4,0,solA5,200824
1G9,solA5,0,81,9,0,solA5,200824
1H6,solA5,0,95,21,0,solA5,200824
1G8,solA5,10,NA,24,0,solA5,200824
1G9,solA5,10,NA,33,0,solA5,200824
1H6,solA5,10,NA,53,0,solA5,200824
D6,TRD_hsolA,0,60,7,0,TRD_hsolA,200824
1E6,TRD_hsolA,0,77,8,0,TRD_hsolA,200824
1G12,TRD_hsolA,0,86,13,0,TRD_hsolA,200824
D6,TRD_hsolA,10,NA,40,0,TRD_hsolA,200824
1E6,TRD_hsolA,10,NA,53,0,TRD_hsolA,200824
1G12,TRD_hsolA,10,NA,53,0,TRD_hsolA,200824
1E7,TRD_lsolA,0,93,5,0,TRD_lsolA,200824
1F9,TRD_lsolA,0,81,13,0,TRD_lsolA,200824
1G7,TRD_lsolA,0,64,8,0,TRD_lsolA,200824
1E7,TRD_lsolA,10,NA,69,0,TRD_lsolA,200824
1F9,TRD_lsolA,10,NA,59,0,TRD_lsolA,200824
1G7,TRD_lsolA,10,NA,44,0,TRD_lsolA,200824
