well,treatment,t,eggs,juvs,concentration.uM.,combinedwith,date
1E8,dafa_TRD_hsolA,0,84,0,50,TRD_hsolA,200824
1F3,dafa_TRD_hsolA,0,68,4,50,TRD_hsolA,200824
1G3,dafa_TRD_hsolA,0,77,9,50,TRD_hsolA,200824
1E8,dafa_TRD_hsolA,10,NA,11,50,TRD_hsolA,200824
1F3,dafa_TRD_hsolA,10,NA,17,50,TRD_hsolA,200824
1G3,dafa_TRD_hsolA,10,NA,22,50,TRD_hsolA,200824
D6,TRD_hsolA,0,60,7,0,TRD_hsolA,200824
1E6,TRD_hsolA,0,77,8,0,TRD_hsolA,200824
1G12,TRD_hsolA,0,86,13,0,TRD_hsolA,200824
D6,TRD_hsolA,10,NA,40,0,TRD_hsolA,200824
1E6,TRD_hsolA,10,NA,53,0,TRD_hsolA,200824
1G12,TRD_hsolA,10,NA,53,0,TRD_hsolA,200824
1B1,TRD_hsolA_dafadine,0,61,8,50,TRD_hsolA,200911
1B1,TRD_hsolA_dafadine,10,NA,36,50,TRD_hsolA,200911
1B7,TRD_hsolA_dafadine,0,63,7,50,TRD_hsolA,200911
1B7,TRD_hsolA_dafadine,10,NA,47,50,TRD_hsolA,200911
1D2,TRD_hsolA_dafadine,0,67,5,50,TRD_hsolA,200911
1D2,TRD_hsolA_dafadine,10,NA,34,50,TRD_hsolA,200911
1A7,TRD_hsolA,0,66,2,0,TRD_hsolA,200911
1A7,TRD_hsolA,10,NA,63,0,TRD_hsolA,200911
1F12,TRD_hsolA,0,87,16,0,TRD_hsolA,200911
1F12,TRD_hsolA,10,NA,89,0,TRD_hsolA,200911
1G6,TRD_hsolA,0,116,4,0,TRD_hsolA,200911
1G6,TRD_hsolA,10,NA,92,0,TRD_hsolA,200911
1B12,TRD_hsolA_dafadine_DA,0,74,6,50,TRD_hsolA,200911
1B12,TRD_hsolA_dafadine_DA,10,NA,45,50,TRD_hsolA,200911
1G11,TRD_hsolA_dafadine_DA,0,73,9,50,TRD_hsolA,200911
1G11,TRD_hsolA_dafadine_DA,10,NA,55,50,TRD_hsolA,200911
1G7,TRD_hsolA_dafadine_DA,0,89,18,50,TRD_hsolA,200911
1G7,TRD_hsolA_dafadine_DA,10,NA,56,50,TRD_hsolA,200911
1D8,TRD_hsolA_DA,0,96,4,0,TRD_hsolA,200911
1D8,TRD_hsolA_DA,10,NA,79,0,TRD_hsolA,200911
1E2,TRD_hsolA_DA,0,51,3,0,TRD_hsolA,200911
1E2,TRD_hsolA_DA,10,NA,35,0,TRD_hsolA,200911
1G2,TRD_hsolA_DA,0,98,18,0,TRD_hsolA,200911
1G2,TRD_hsolA_DA,10,NA,89,0,TRD_hsolA,200911
