well,treatment,t,eggs,juvs,concuM
E2,ketoc100,0,83,5,100
1F1,ketoc100,0,57,23,100
1H7,ketoc100,0,59,5,100
E2,ketoc100,10,NA,12,100
1F1,ketoc100,10,NA,20,100
1H7,ketoc100,10,NA,10,100
1A5,Akt50,0,52,8,50
1B10,Akt50,0,72,5,50
1E10,Akt50,0,63,13,50
1A5,Akt50,10,NA,15,50
1B10,Akt50,10,NA,18,50
1E10,Akt50,10,NA,23,50
1B4,Ly500,0,73,0,500
1D2,Ly500,0,56,3,500
1F6,Ly500,0,67,5,500
1B4,Ly500,10,NA,8,500
1D2,Ly500,10,NA,8,500
1F6,Ly500,10,NA,7,500
1C5,dafa50,0,57,5,50
1C6,dafa50,0,67,5,50
1C7,dafa50,0,68,4,50
1C11,dafa50,0,69,5,50
1G5,dafa50,0,59,11,50
1C5,dafa50,10,NA,16,50
1C6,dafa50,10,NA,20,50
1C7,dafa50,10,NA,30,50
1C11,dafa50,10,NA,20,50
1G5,dafa50,10,NA,21,50
1C3,atrop2.5,0,96,0,2500
1E4,atrop2.5,0,46,5,2500
1E5,atrop2.5,0,71,6,2500
1C3,atrop2.5,10,NA,8,2500
1E4,atrop2.5,10,NA,7,2500
1E5,atrop2.5,10,NA,15,2500
1A11,solA5,0,58,3,0
1D3,solA5,0,83,7,0
1E6,solA5,0,58,7,0
1A11,solA5,10,NA,26,0
1D3,solA5,10,NA,52,0
1E6,solA5,10,NA,43,0
1D8,solA5,0,71,6,0
1E1,solA5,0,75,3,0
1D8,solA5,10,NA,47,0
1E1,solA5,10,NA,28,0
