well,treatment,t,eggs,juvs,concuM
D1,Akt50,0,58,12,50
D9,Akt50,0,60,12,50
1G4,Akt50,0,64,11,50
D1,Akt50,10,NA,13,50
D9,Akt50,10,NA,15,50
1G4,Akt50,10,NA,19,50
1A10,atrop_2500_TRD_hsolA,0,60,24,2500
1A10,atrop_2500_TRD_hsolA,10,NA,34,2500
1C8,atrop_2500_TRD_hsolA,0,104,5,2500
1C8,atrop_2500_TRD_hsolA,10,NA,18,2500
1E5,atrop_2500_TRD_hsolA,0,62,2,2500
1E5,atrop_2500_TRD_hsolA,10,NA,10,2500
1E08,dafa50,0,84,0,50
1F3,dafa50,0,68,4,50
1G3,dafa50,0,77,9,50
1E08,dafa50,10,NA,11,50
1F3,dafa50,10,NA,17,50
1G3,dafa50,10,NA,22,50
D12,ketoc100,0,58,7,100
1E05,ketoc100,0,83,3,100
1F4,ketoc100,0,63,19,100
D12,ketoc100,10,NA,9,100
1E05,ketoc100,10,NA,14,100
1F4,ketoc100,10,NA,36,100
E3,Ly500,0,95,2,50
1E10,Ly500,0,70,10,50
1F11,Ly500,0,61,17,50
E3,Ly500,10,NA,28,50
1E10,Ly500,10,NA,27,50
1F11,Ly500,10,NA,23,50
D6,TRD_hsolA,0,60,7,0
1E6,TRD_hsolA,0,77,8,0
1G12,TRD_hsolA,0,86,13,0
D6,TRD_hsolA,10,NA,40,0
1E6,TRD_hsolA,10,NA,53,0
1G12,TRD_hsolA,10,NA,53,0
1A7,TRD_hsolA,0,66,2,0
1A7,TRD_hsolA,10,NA,63,0
1F12,TRD_hsolA,0,87,16,0
1F12,TRD_hsolA,10,NA,89,0
1G6,TRD_hsolA,0,116,4,0
1G6,TRD_hsolA,10,NA,92,0
