well,treatment,t,eggs,juvs
1A1,solA5_dafa,0,75,1
1A1,solA5_dafa,14,NA,46
1A10,twater_1%EtOH,0,78,3
1A10,twater_1%EtOH,14,NA,18
1A11,TRDhsolA0.2_dafa,0,79,2
1A11,TRDhsolA0.2_dafa,14,NA,49
1A12,solA5_atropine,0,106,2
1A12,solA5_atropine,14,NA,41
1A2,TRDhsolA0.2_dafa,0,88,2
1A2,TRDhsolA0.2_dafa,14,NA,52
1A3,solA5_atropine,0,76,1
1A3,solA5_atropine,14,NA,27
1A4,TRDhsolA0.2_dafa,0,67,2
1A4,TRDhsolA0.2_dafa,14,NA,51
1A5,solA5_LY294002,0,68,1
1A5,solA5_LY294002,14,NA,26
1A6,TRDlsolA0.2,0,73,2
1A6,TRDlsolA0.2,14,NA,40
1A7,solA5,0,88,1
1A7,solA5,14,NA,58
1A8,solA5,0,68,0
1A8,solA5,14,NA,47
1A9,8brc1,0,85,4
1A9,8brc1,14,NA,16
1B1,TRDlsolA0.2_dafa,0,122,0
1B1,TRDlsolA0.2_dafa,14,NA,87
1B10,solA5_Akt,0,77,3
1B10,solA5_Akt,14,NA,44
1B11,TRDlsolA0.2_dafa,0,75,4
1B11,TRDlsolA0.2_dafa,14,NA,36
1B12,solA5_atropine,0,89,0
1B12,solA5_atropine,14,NA,29
1B2,solA5,0,111,2
1B2,solA5,14,NA,92
1B3,solA5_dafa,0,114,3
1B3,solA5_dafa,14,NA,82
1B4,solA5_dafa,0,81,0
1B4,solA5_dafa,14,NA,65
1B5,solA5_LY294002,0,67,1
1B5,solA5_LY294002,14,NA,22
1B6,TRDlsolA0.2_dafa,0,84,1
1B6,TRDlsolA0.2_dafa,14,NA,47
1B7,8brc1,0,86,2
1B7,8brc1,14,NA,13
1B8,twater_1%EtOH,0,75,0
1B8,twater_1%EtOH,14,NA,13
1B9,8brc1,0,90,3
1B9,8brc1,14,NA,15
1C1,TRDlsolA0.2,0,96,3
1C1,TRDlsolA0.2,14,NA,67
1C2,solA5_Akt,0,82,6
1C2,solA5_Akt,14,NA,64
1C3,TRDhsolA0.2,0,75,2
1C3,TRDhsolA0.2,14,NA,62
1C4,TRDhsolA0.2,0,98,0
1C4,TRDhsolA0.2,14,NA,65
1C5,twater_1%EtOH,0,89,1
1C5,twater_1%EtOH,14,NA,18
1C6,TRDlsolA0.2,0,96,3
1C6,TRDlsolA0.2,14,NA,63
1C7,TRDhsolA0.2,0,80,3
1C7,TRDhsolA0.2,14,NA,70
1C8,solA5_Akt,0,72,2
1C8,solA5_Akt,14,NA,52
1C9,solA5_LY294002,0,90,2
1C9,solA5_LY294002,14,NA,40
