well,treatment,t,eggs,juvs,concentration(uM)
D12,keto100_TRD_hsolA,0,58,7,100
1E5,keto100_TRD_hsolA,0,83,3,100
1F4,keto100_TRD_hsolA,0,63,19,100
D12,keto100_TRD_hsolA,10,NA,9,100
1E5,keto100_TRD_hsolA,10,NA,14,100
1F4,keto100_TRD_hsolA,10,NA,36,100
1G5,keto200_TRD_hsolA,0,81,9,200
1G11,keto200_TRD_hsolA,0,69,33,200
1H2,keto200_TRD_hsolA,0,57,9,200
1G5,keto200_TRD_hsolA,10,NA,20,200
1G11,keto200_TRD_hsolA,10,NA,44,200
1H2,keto200_TRD_hsolA,10,NA,25,200
D6,TRD_hsolA,0,60,7,0
1E6,TRD_hsolA,0,77,8,0
1G12,TRD_hsolA,0,86,13,0
D6,TRD_hsolA,10,NA,40,0
1E6,TRD_hsolA,10,NA,53,0
1G12,TRD_hsolA,10,NA,53,0
1A7,TRD_hsolA,0,66,2,0
1A7,TRD_hsolA,10,NA,63,0
1F12,TRD_hsolA,0,87,16,0
1F12,TRD_hsolA,10,NA,89,0
1G6,TRD_hsolA,0,116,4,0
1G6,TRD_hsolA,10,NA,92,0
