well,treatment,t,eggs,juvs,concentration(uM)
1F5,keto100_TRD_lsolA,0,81,6,100
1F12,keto100_TRD_lsolA,0,53,19,100
1H1,keto100_TRD_lsolA,0,70,10,100
1F5,keto100_TRD_lsolA,10,NA,33,100
1F12,keto100_TRD_lsolA,10,NA,31,100
1H1,keto100_TRD_lsolA,10,NA,20,100
D3,keto200_TRD_lsolA,0,82,7,200
1G6,keto200_TRD_lsolA,0,71,3,200
1H4,keto200_TRD_lsolA,0,60,5,200
D3,keto200_TRD_lsolA,10,NA,49,200
1G6,keto200_TRD_lsolA,10,NA,29,200
1H4,keto200_TRD_lsolA,10,NA,40,200
1E7,TRD_lsolA,0,93,5,0
1F9,TRD_lsolA,0,81,13,0
1G7,TRD_lsolA,0,64,8,0
1E7,TRD_lsolA,10,NA,69,0
1F9,TRD_lsolA,10,NA,59,0
1G7,TRD_lsolA,10,NA,44,0
1A12,TRD_lsolA,0,73,16,0
1A12,TRD_lsolA,10,NA,69,0
1C11,TRD_lsolA,0,80,7,0
1C11,TRD_lsolA,10,NA,73,0
1F3,TRD_lsolA,0,81,13,0
1F3,TRD_lsolA,10,NA,76,0
