well,treatment,t,eggs,juvs,concentration(uM)
F7,solA20nM,0,93,8,0
F8,solA20nM,0,99,16,0
F9,solA20nM,0,100,5,0
H4,ketocon500_solA20,0,138,21,500
H5,ketocon500_solA20,0,105,19,500
H6,ketocon500_solA20,0,102,6,500
F7,solA20nM,14,NA,44,0
F8,solA20nM,14,NA,54,0
F9,solA20nM,14,NA,45,0
H4,ketocon500_solA20,14,NA,33,500
H5,ketocon500_solA20,14,NA,29,500
H6,ketocon500_solA20,14,NA,22,500
E2,ketoc100_solA5,0,83,5,100
1F1,ketoc100_solA5,0,57,23,100
1H7,ketoc100_solA5,0,59,5,100
E2,ketoc100_solA5,10,NA,12,100
1F1,ketoc100_solA5,10,NA,20,100
1H7,ketoc100_solA5,10,NA,10,100
1F8,ketoc200_solA5,0,53,5,200
1F10,ketoc200_solA5,0,59,3,200
1G1,ketoc200_solA5,0,53,14,200
1F8,ketoc200_solA5,10,NA,6,200
1F10,ketoc200_solA5,10,NA,4,200
1G1,ketoc200_solA5,10,NA,15,200
1D8,solA5,0,71,6,0
1E1,solA5,0,75,3,0
1D8,solA5,10,NA,47,0
1E1,solA5,10,NA,28,0
1A11,solA5,0,58,3,0
1D3,solA5,0,83,7,0
1E6,solA5,0,58,7,0
1A11,solA5,10,NA,26,0
1D3,solA5,10,NA,52,0
1E6,solA5,10,NA,43,0
