well,treatment,t,eggs,juvs,inhibitor,stimulator,conc_inh
1F5,TRD_lsolA_ketoconazole_100uM,0,81,6,ketoconazole,TRD_lsolA,100uM
1F12,TRD_lsolA_ketoconazole_100uM,0,53,19,ketoconazole,TRD_lsolA,100uM
1H1,TRD_lsolA_ketoconazole_100uM,0,70,10,ketoconazole,TRD_lsolA,100uM
1F5,TRD_lsolA_ketoconazole_100uM,10,NA,33,ketoconazole,TRD_lsolA,100uM
1F12,TRD_lsolA_ketoconazole_100uM,10,NA,31,ketoconazole,TRD_lsolA,100uM
1H1,TRD_lsolA_ketoconazole_100uM,10,NA,20,ketoconazole,TRD_lsolA,100uM
D3,TRD_lsolA_ketoconazole_200uM,0,82,7,ketoconazole,TRD_lsolA,200uM
1G6,TRD_lsolA_ketoconazole_200uM,0,71,3,ketoconazole,TRD_lsolA,200uM
1H4,TRD_lsolA_ketoconazole_200uM,0,60,5,ketoconazole,TRD_lsolA,200uM
D3,TRD_lsolA_ketoconazole_200uM,10,NA,49,ketoconazole,TRD_lsolA,200uM
1G6,TRD_lsolA_ketoconazole_200uM,10,NA,29,ketoconazole,TRD_lsolA,200uM
1H4,TRD_lsolA_ketoconazole_200uM,10,NA,40,ketoconazole,TRD_lsolA,200uM
1E7,TRD_lsolA_ketoconazole_0uM,0,93,5,ketoconazole,TRD_lsolA,0uM
1F9,TRD_lsolA_ketoconazole_0uM,0,81,13,ketoconazole,TRD_lsolA,0uM
1G7,TRD_lsolA_ketoconazole_0uM,0,64,8,ketoconazole,TRD_lsolA,0uM
1E7,TRD_lsolA_ketoconazole_0uM,10,NA,69,ketoconazole,TRD_lsolA,0uM
1F9,TRD_lsolA_ketoconazole_0uM,10,NA,59,ketoconazole,TRD_lsolA,0uM
1G7,TRD_lsolA_ketoconazole_0uM,10,NA,44,ketoconazole,TRD_lsolA,0uM
1A12,TRD_lsolA_ketoconazole_0uM,0,73,16,ketoconazole,TRD_lsolA,0uM
1A12,TRD_lsolA_ketoconazole_0uM,10,NA,69,ketoconazole,TRD_lsolA,0uM
1C11,TRD_lsolA_ketoconazole_0uM,0,80,7,ketoconazole,TRD_lsolA,0uM
1C11,TRD_lsolA_ketoconazole_0uM,10,NA,73,ketoconazole,TRD_lsolA,0uM
1F3,TRD_lsolA_ketoconazole_0uM,0,81,13,ketoconazole,TRD_lsolA,0uM
1F3,TRD_lsolA_ketoconazole_0uM,10,NA,76,ketoconazole,TRD_lsolA,0uM
D12,TRD_hsolA_ketoconazole_100uM,0,58,7,ketoconazole,TRD_hsolA,100uM
1E5,TRD_hsolA_ketoconazole_100uM,0,83,3,ketoconazole,TRD_hsolA,100uM
1F4,TRD_hsolA_ketoconazole_100uM,0,63,19,ketoconazole,TRD_hsolA,100uM
D12,TRD_hsolA_ketoconazole_100uM,10,NA,9,ketoconazole,TRD_hsolA,100uM
1E5,TRD_hsolA_ketoconazole_100uM,10,NA,14,ketoconazole,TRD_hsolA,100uM
1F4,TRD_hsolA_ketoconazole_100uM,10,NA,36,ketoconazole,TRD_hsolA,100uM
1G5,TRD_hsolA_ketoconazole_200uM,0,81,9,ketoconazole,TRD_hsolA,200uM
1G11,TRD_hsolA_ketoconazole_200uM,0,69,33,ketoconazole,TRD_hsolA,200uM
1H2,TRD_hsolA_ketoconazole_200uM,0,57,9,ketoconazole,TRD_hsolA,200uM
1G5,TRD_hsolA_ketoconazole_200uM,10,NA,20,ketoconazole,TRD_hsolA,200uM
