well,treatment,t,eggs,juvs,species,date,conc.nM
A1,solA,0,73,2,Gpa_rkmr,22/06/2018,2
A2,solA,0,83,5,Gpa_rkmr,22/06/2018,2
A3,solA,0,60,11,Gpa_rkmr,22/06/2018,2
A4,solA,0,126,9,Gpa_rkmr,22/06/2018,0.2
A5,solA,0,76,9,Gpa_rkmr,22/06/2018,0.2
A6,solA,0,140,12,Gpa_rkmr,22/06/2018,0.2
A7,solA,0,163,16,Gpa_rkmr,22/06/2018,0.02
A8,solA,0,92,4,Gpa_rkmr,22/06/2018,0.02
A9,solA,0,107,8,Gpa_rkmr,22/06/2018,0.02
A1,solA,17,NA,13,Gpa_rkmr,22/06/2018,2
A2,solA,17,NA,20,Gpa_rkmr,22/06/2018,2
A3,solA,17,NA,25,Gpa_rkmr,22/06/2018,2
A4,solA,17,NA,29,Gpa_rkmr,22/06/2018,0.2
A5,solA,17,NA,19,Gpa_rkmr,22/06/2018,0.2
A6,solA,17,NA,33,Gpa_rkmr,22/06/2018,0.2
A7,solA,17,NA,38,Gpa_rkmr,22/06/2018,0.02
A8,solA,17,NA,7,Gpa_rkmr,22/06/2018,0.02
A9,solA,17,NA,39,Gpa_rkmr,22/06/2018,0.02
D10,solA,0,166,9,Gpa_rkmr,22/06/2018,20
D11,solA,0,93,9,Gpa_rkmr,22/06/2018,20
D12,solA,0,109,3,Gpa_rkmr,22/06/2018,20
D10,solA,17,NA,48,Gpa_rkmr,22/06/2018,20
D11,solA,17,NA,31,Gpa_rkmr,22/06/2018,20
D12,solA,17,NA,23,Gpa_rkmr,22/06/2018,20
A1,solA,0,184,14,Gro_mrnb,22/06/2018,2
A2,solA,0,145,11,Gro_mrnb,22/06/2018,2
A3,solA,0,72,11,Gro_mrnb,22/06/2018,2
A4,solA,0,96,8,Gro_mrnb,22/06/2018,0.2
A5,solA,0,74,4,Gro_mrnb,22/06/2018,0.2
A6,solA,0,158,25,Gro_mrnb,22/06/2018,0.2
E10,solA,0,177,26,Gro_mrnb,22/06/2018,0.02
E11,solA,0,126,11,Gro_mrnb,22/06/2018,0.02
E12,solA,0,187,10,Gro_mrnb,22/06/2018,0.02
F4,solA,0,290,6,Gro_mrnb,22/06/2018,20
F5,solA,0,339,18,Gro_mrnb,22/06/2018,20
F6,solA,0,217,12,Gro_mrnb,22/06/2018,20
A1,solA,12,NA,74,Gro_mrnb,22/06/2018,2
A2,solA,12,NA,67,Gro_mrnb,22/06/2018,2
A3,solA,12,NA,32,Gro_mrnb,22/06/2018,2
A4,solA,12,NA,19,Gro_mrnb,22/06/2018,0.2
A5,solA,12,NA,24,Gro_mrnb,22/06/2018,0.2
A6,solA,12,NA,50,Gro_mrnb,22/06/2018,0.2
E10,solA,12,NA,56,Gro_mrnb,22/06/2018,0.02
E11,solA,12,NA,29,Gro_mrnb,22/06/2018,0.02
E12,solA,12,NA,27,Gro_mrnb,22/06/2018,0.02
F4,solA,12,NA,184,Gro_mrnb,22/06/2018,20
F5,solA,12,NA,165,Gro_mrnb,22/06/2018,20
F6,solA,12,NA,117,Gro_mrnb,22/06/2018,20
G7,solA,0,212,15,Gro_mrnb,23/07/2018,20
G8,solA,0,234,18,Gro_mrnb,23/07/2018,20
G9,solA,0,131,3,Gro_mrnb,23/07/2018,20
G10,solA,0,255,19,Gro_mrnb,23/07/2018,200
G11,solA,0,219,10,Gro_mrnb,23/07/2018,200
G12,solA,0,141,15,Gro_mrnb,23/07/2018,200
G7,solA,14,NA,145,Gro_mrnb,23/07/2018,20
G8,solA,14,NA,124,Gro_mrnb,23/07/2018,20
G9,solA,14,NA,78,Gro_mrnb,23/07/2018,20
G10,solA,14,NA,144,Gro_mrnb,23/07/2018,200
G11,solA,14,NA,153,Gro_mrnb,23/07/2018,200
G12,solA,14,NA,98,Gro_mrnb,23/07/2018,200
F4,solA,0,114,32,Gro_mrnb,06/07/2018,20
F5,solA,0,155,20,Gro_mrnb,06/07/2018,20
